20230922	Explaining Cost and Profit Through an Example	4Wd-HAns-ok
20230921	Tech Tutoring for Grandma: Bridging the Generation Gap with Computers	EfOEwJFK4DU
20230910	BO Motor crane project #motors #science #projects	3QfxJb-F4m0
20230909	Healthy food vs junk food	OgTEgJqlqqs
20230909	My BO motors Projects Presentation	aP6oVXIo57Q
20220814	How to create a fan with a mini DC motor	Lq64Ev7hLwc
20220709	How to book tickets on IRCTC site	A2mpgRFgv2A
20220703	How to grate ash gourd	X_bT1gJ7Lbc
20220703	How to fix drill bits?	17DZ8AXWz1w
20220703	How to make round rotis	QEF11G61okU
